"TANIKA LIQUOR
Complete Inventory & Valuation Report"												


NO	OLD NAME 	NEW NAME										
1	Absolute blue	Absolut Blue										
2	Acacia medium sweet white	Acacia Medium Sweet White										
3	Amarula Cream	Amarula Cream										
4	Antica Natural Sweet Red	Antica Natural Sweet Red										
5	Antica Natural Sweet Rosé	Antica Natural Sweet Rosé										
6	Antica Natural Sweet White	Antica Natural Sweet White										
7	Awash Gebeta Red	Awash Gebeta Red										
8	Awash Gebeta Rosé	Awash Gebeta Rosé										
9	Bacardi Rum	Bacardi Rum										
10	Baileys Irish Cream	Baileys Irish Cream										
11	beffeter	Beefeater										
12	Black leabl duty free	Black Label Duty Free										
13	bols triple	Bols Triple Sec										
14	Bottega White	Bottega White										
15	Camino	Camino										
16	Camino Silver	Camino Silver										
17	captain morgan	Captain Morgan Gold										
18	Casamigos	Casamigos Silver										
19	Casamigos Tequila	Casamigos Tequila										
20	Castel Acacia Medium Sweet Red	Castel Acacia Medium Sweet Red										
21	Castel Acacia Medium Sweet Rosé	Castel Acacia Medium Sweet Rosé										
22	Castel Cuvée Prestige Dry Red Malbec	Castel Cuvée Prestige Dry Red Malbec										
23	Castel Cuvée Prestige Dry Red White	Castel Cuvée Prestige Dry Red White										
24	Castel Rift Valley Cabernet Sauvignon	Castel Rift Valley Cabernet Sauvignon										
25	Castel Rift Valley Malbec	Castel Rift Valley Malbec										
26	Castel Rift Valley Syrah	Castel Rift Valley Syrah										
27	champion coffee	Champion Coffee										
28	champion gin	Champion Gin										
29	champion vodca	Champion Vodka										
30	Château Barreyres	Château Barreyres										
31	Château d'Arcins	Château d’Arcins										
32	chivas regal 18	Chivas Regal 12 Years										
33	Chivas Regal 12 Years	Chivas Regal 12 Years										
34	ciroc	Cîroc										
35	donjulio	Don Julio Reposado										
36	donjulio	Don Julio Añejo										
37	dubble black , Dubble black , Johnnie Walker Double Black	Johnnie Walker Double Black										
38	fentel prorose	Fentel Pro Rosé										
39	Fernet Branca	Fernet Branca										
40	fireball	Fireball Cinnamon										
41	Glenfiddich 15 Years	Glenfiddich 15 Years										
42	Gold Label , Gold leable , Gold Leable , Johnnie Walker Gold Label	Johnnie Walker Gold Label										
43	gordon , Gordon gin	Gordon's Gin										
44	green leable , Johnnie Walker Green Label	Johnnie Walker Green Label										
45	Grey Goose	Grey Goose										
46	henessy xo	Hennessy XO										
47	Jack Daniel's Old No. 7	Jack Daniel's Old No. 7										
48	Jägermeister	Jägermeister										
49	black leable , Johnnie Walker Black Label	Johnnie Walker Black Label										
50	Johnnie Walker Blue Label	Johnnie Walker Blue Label										
51	Johnnie Walker Platinum 18 Years	Johnnie Walker Platinum 18 Years										
52	Johnnie Walker Red Label	Johnnie Walker Red Label										
53	Jose’s curvo silver , Jose’s curvo silver , José Cuervo Silver	José Cuervo Silver										
54	Josses curvo gold	José Cuervo Gold										
55	king jorje	Johnnie Walker King George V										
56	Maison Castel Cabernet Sauvignon	Maison Castel Cabernet Sauvignon										
57	Maison Castel Chablis	Maison Castel Chablis										
58	Maison Castel Chardonnay	Maison Castel Chardonnay										
59	Maison Castel Côtes du Rhône Grenache Syrah	Maison Castel Côtes du Rhône Grenache Syrah										
